fid,Start_time,End_time,Width,Length,Fatalities,Injuries,Damage,Narrative,F_scale,Wind,Source,State_1,State_2,State_3,SPC_id,NCEI_id,Tornado_type,Storm_morphology,start_lon,start_lat,end_lon,end_lat
0,2022-01-01T15:21:00,2022-01-01T15:22:00,125,1.14,0,0,600000,"The tornado formed on the south side of downtown Hopkinsville and moved east, lifting on the northeast side of the interchange of U.S. 41 and U.S. 68. A number of structures were damaged in this highly populated urban area. Major roof damage occurred at a brick church, with part of the roof and decking removed. Many trees were uprooted and several were snapped. The roof and a small part of a wall were removed on a brick home. Several businesses sustained minor to moderate roof damage, and a few sustained major damage. A gas station canopy was destroyed, along with gas pumps. A few businesses sustained damage to doors and windows. Peak winds were estimated near 115 mph at the church (DI 17, DOD 5).",2,115,NWS Storm Survey,KY,,,,998041,Tornado,QLCS,-87.48885072,36.86105207,-87.46910966,36.86503497
1,2022-01-01T16:52:00,2022-01-01T16:53:00,50,0.35,0,0,750000,"A NWS Storm Survey concluded that a brief EF0 tornado formed in a wooded area between Timbershore Lane and Tananger Circle, south of Duckwood Drive in Eagan, Minnesota. Most of the damage occurred in this area, with large hardwood trees uprooted or blown down. Several of the large trees landed on roofs, sheds and fences in this residential neighborhood. The damage path became more disorganized as the tornado lifted near Lexington, and Yankee Doodle Road where a few large pine trees were uprooted. Damage indicators showed that up to 85 mph winds occurred, with a path width of 150 yards.",0,85,NWS Storm Survey,KY,,,,1004312,Tornado,Supercell,-85.9861133,37.37684368,-85.98167828,37.38133811
2,2022-01-01T17:16:00,2022-01-01T17:22:00,100,5.88,0,0,3000,"Many large tree branches were broken. A few trees were snapped. The tornado occurred in rural farm country, and no structures were damaged in the Todd County portion of the path. Peak winds in Todd County were estimated near 75 mph. The tornado exited into Logan County about a mile southeast of Allensville. This confirmed tornado was a continuation of a tornadic storm that crossed from Todd County Kentucky to Logan County Kentucky. The tornado first crossed the Todd/Logan county line about a mile south of Allensville around 12:19 PM EST. Small tree limbs were broken along Keysburg Road (KY Route 102). The tornado continued across mostly rural fields before striking a barn along Joe Riley road where major roof damage was observed as well as moderate tree damage. Near this location is where the max wind speeds were observed at 85 mph, or high end EF-0. This rating was changed from a previously reported EF-1 rating due to the nature of surrounding damage observed.
The tornado continued along rural open farm fields before damaging a mix of hard and softwood trees. Some trees had large limbs downed, while others had snapped trunks along Kenny Stratton Road west of Lickskillet. The tornado ended at around 12:22 PM EST along with no further damage observed past Olmstead Road.",0,85,NWS Storm Survey,KY,,,,"998040, 1004310",Tornado,QLCS,-87.08979953,36.69019628,-87.01049198,36.73959727
3,2022-01-01T17:22:00,2022-01-01T17:32:00,100,11.03,0,0,,"This confirmed tornado was a continuation of the parent circulation that caused the tornado southwest of Olmstead KY that crossed the Todd/Logan county line. After a gap of more than 2 miles, the tornado redeveloped and caused damage along Watermelon Road. Minor roof damage occurred near this location. The tornado continued along JB Shackelford Road in mostly rural open farm fields before damage occurred along Johnson Young Road (Route 739). Several trees had large limbs down, and a hardwood tree was uprooted nearby. The strongest damage occurred as a nearby barn was completely demolished with estimated wind speeds at 110 mph for strong EF-1 winds.
The tornado then turned to the northeast causing minor damage to a porch covering at BL Shackelford Road. Damage continued toward Williams Store where significant tree damage occurred with several large trees either snapped or had large branches broken. The tornado then crossed rural areas west of Nashville Road (Highway 431).
At Nashville Road, a barn had roof damage observed with another outbuilding shifted off the foundation. At this point, the tornado appeared to strengthen with consistent damage just north of Ellis Road. A barn had a silo completely destroyed with major damage to 2 other silos, and drone footage confirmed several trees uprooted with branches snapped beyond this barn. The tornado then did some damage along Ellis road with roof damage observed at another barn.
An isolated tree snap occurred near the junction of Franklin Road (route 100) and Airport Road before the tornado crossed rural fields near the Russellville-Logan County Airport. The tornado continued to the northeast with damage observed to the west of Dennis Corinth Road to trees and barns.",1,110,NWS Storm Survey,KY,,,,1004316,Tornado,QLCS,-86.96999503,36.76109991,-86.78906394,36.81306652
4,2022-01-01T17:49:00,2022-01-01T17:50:00,50,0.26,0,0,,"A quick EF-1 tornado dropped down across the property of the Kentucky Cooperage, with small whirls rotating around a mainline vortex that likely remained just above the surface.
The first area of narrow damage occurred where an empty trailer got shoved on its side on the southwest side of the property. The corner of a metal building also had some damage. There was little evidence of other damage in that vicinity.
The next damage occurred on a trailer garage just south of the main building. Its roof was peeled off and one side wall collapsed. The roof ended up about 50 yards southeast. Also of note, the plant manager said that mud was splattered on the south wall of the main building here, which mostly was cleaned off by the heavy rain afterward.
Next, a flat metal roof got twisted in several directions as the small vortex with 100 mph winds hit it. The last of the damage occurred in the parking lot across from the northwest side of the property. The southernmost trailer in a north- south line of empty trailers was rotated from its starting position. A nearby garage door also crumpled inward.",1,100,NWS Storm Survey,KY,,,,1004012,Tornado,QLCS,-85.2338934,37.5738845,-85.23018123,37.57597628
5,2022-01-01T17:52:00,2022-01-01T17:53:00,75,0.39,0,0,,"NWS Storm Survey Teams found an area of straight line winds of 70 to 75 mph, beginning at the Hunting Creek subdivision off of Cave Mill Road. Along Cave Mill Road fences were blown down, minor shingle damage to homes occurred, and many pine and cedar trees were snapped and topped.
At the intersection of Curtis and Cave Mill Rd, there was a change in the damage pattern. The damage became more concentrated with gutters, shingles, roof, and soffit damage. Trees were snapped and uprooted facing to the north, northeast, and east southeasterly direction. Clear evidence was found of a weak tornado that formed with winds estimated between 80 and 85 mph. The tornado was slightly elevated off the ground and was very intermittent.
The tornado lifted just before the Marriott TownePlace Suites on Cave Mill Rd, and then there was sporadic straight-wind damage all the way to Ashton Parc Apartments off of Shive Lane. Thornton Furniture had the most damage from the straight-line winds with roofing and facade damage.",0,85,NWS Storm Survey,KY,,,,1004302,Tornado,Supercell,-86.44456653,36.94277779,-86.4377859,36.94421835
6,2022-01-01T18:00:00,2022-01-01T18:06:00,350,6.38,0,0,,"NWS Storm Survey Teams found EF-1 tornado damage just north of Campbellsville. The timing for this tornado was based on eyewitness accounts.
The first evidence of touchdown was on Salem Church Road, where several outbuildings had damage. The tornado then continued into the Woodhill subdivision where several homes sustained mostly roof damage. The tornado then continued downstream, crossing Hwy 289 and then following along Hwy 3211, Red Fern Rd. Several homes experienced damage here, again mostly with roof issues, but multiple trees were also uprooted and/or snapped.
Additional damage occurred along Palestine Rd and Sharp Ln, mostly roofing damage, but some of the debris falling downstream hit and broke off parts of a low brick wall. Two power poles in the area were bent roughly 30 degrees, with one cracked at the base but still standing.
The tornado caused its last damage along Old Spurlington Road near US Hwy 68. A two-story home had some roofing damage along the top ridge. A tree on the southwest side of the home surprisingly did not fall on the house, but a nearby air conditioner unit was pushed partly off its foundation. A little bit downstream, closer to Hwy 68, a large garage structure had significant roofing damage and a wall buckling outward.
A house and barn were damaged just downstream of Hwy 68. An eyewitness reported seeing the tornado lifting in this area. A motorist said it crossed KY 744 in front of him, and it was not touching the ground right after it went through his area.
Side note: this tornado track was parallel to and about 4 miles southeast of the EF-3 tornado that tracked through the region on December 11, 2021.",1,110,NWS Storm Survey,KY,,,,1004297,Tornado,Supercell,-85.38538464,37.37341832,-85.27785489,37.40880635
7,2022-01-01T18:17:00,2022-01-01T18:29:00,150,10.57,0,0,,"NWS Storm Survey Teams found EF-1 tornado damage across northern Barren County. The damage began along the 2100 block of Carden Road which included a 80 x 100ft Amish built barn which was destroyed. Damage from the barn was thrown 400 yards to the northeast and east. Along Carden Road, trees were snapped, topped and twisted. There was sporadic roof damage to homes including gutters, siding, and shingle damage. Winds in this area were 90 to 95 mph with a width of 75 yards.
Along Highway 90, the tornado increased to a width of 125 yards with many barns incurring structural roof damage. At the Legacy Dairy Farms, an older 40 x 60ft barn was destroyed and there was sidewall damage to a large grain silo along Goodnight-Hiseville Road. Winds in this area were 85 mph.
Along Route 740, the tornado paralleled the road and the width increased to 150 yards. In Hiseville, there was barn damage with half a dozen barns sustaining significant structural damage. A 50ft diameter well-built grain silo was twisted and knocked over, and numerous trees were twisted, snapped, or uprooted. Most of the trees were facing north, northeast, east, and a few in the southeasterly direction. At the Hiseville Cemetery, modern and older gravestones were knocked over and cedar trees were knocked over and topped.",1,95,NWS Storm Survey,KY,,,,1004296,Tornado,Supercell,-85.99091709,37.04251372,-85.81400678,37.10216168
8,2022-01-01T18:49:00,2022-01-01T18:51:00,125,1.75,0,0,,"NWS Storm Survey Teams found EF-1 tornado damage in Madison County. This tornado damage path was embedded within a broader swath of straight line wind damage. Hundreds of trees were uprooted or snapped, and multiple outbuildings were destroyed, but damage to homes in the area was mainly limited to roof, siding, and window damage.
The tornado touched down a half mile west of Union City, initially snapping off multiple cedar trees. Homes along Noland Road sustained roof, siding, and window damage, some of which occurred as a result of flying debris from damaged outbuildings. Nearby, along Union City Road, straight line winds estimated at 80 mph shifted mobile homes off foundations and overturned a small shed.
More extensive damage was observed as the tornado approached Walker Parke Road, where multiple hardwood trees were uprooted or snapped. One home had its chimney collapse, and a brick from the chimney was thrown through the window of a van parked on the south side of the home. A neighboring home lost its entire metal roof.
The most extensive damage occurred east-northeast of Union City along Doylesville Road. Many cedar trees were snapped and the roof of a home was damaged at a farm in a valley area, but the winds strengthened as the tornado reached another farm near the next ridge top. Here, three substantial outbuildings were completely destroyed, and one was shifted far enough off its foundation to be a total loss. Many trees were uprooted or snapped on this property, and the home sustained damage to its roof and gutters. Additional straight line wind damage was found to hardwood and softwood trees on this property. The tornado then lifted approximately 1.3 miles east-northeast of Union City.",1,110,NWS Storm Survey,KY,,,,1004013,Tornado,Supercell,-84.20657035,37.79703651,-84.17601462,37.80503911
9,2022-01-01T18:59:00,2022-01-01T19:00:00,140,1.1,0,0,50000,"A NWS storm survey team found damage that was the result of an EF-1 tornado with maximum wind speeds estimated at 95 mph. Numerous trees were snapped or uprooted, a barn was collapsed, and the roof of an auto repair facility was damaged.
The tornado touched down along Thornburg Bend, where trees were snapped. A barn was collapsed at a farm off of Harris Perry Road, and an auto repair facility on Red River Road lost part of its roof. Multiple downed trees blocked access to the dead end of Red River Road. The tornado lifted just west of the Red River.",1,95,NWS Storm Survey,KY,,,,1004639,Tornado,Supercell,-84.10112065,37.82737512,-84.08414763,37.83534053
